key,source,Translation
ST_Mod_Architecture::GrunmniPack_ShortBrazier_A.Description,A brazier that produces fire light.,
ST_Mod_Architecture::GrunmniPack_ShortBrazier_B.Description,A brazier with legs that produces fire light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_C.Description,A ceiling lamp that produces a blue light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_A.Description,A ceiling lamp that produces a green light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_F.Description,A ceiling lamp that produces a orange light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_E.Description,A ceiling lamp that produces a purple light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_D.Description,A ceiling lamp that produces a white light.,
ST_Mod_Architecture::GrumniPack_CeilingLamp_B.Description,A ceiling lamp that produces a yellow light.,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_A.Description,A curved granite barrier,
ST_Mod_Architecture::CurvedPack_CurvedWall_A.Description,A curved granite wall,
ST_Mod_Architecture::TobiFloorPack_InlaidFloor_A.Description,A decorated adamant floor,
ST_Mod_Architecture::TobiPack_DecoratedArch_A.Description,A decorated arch with wood,
ST_Mod_Architecture::TobiPack_DecoratedArch_B.Description,A decorated arch with wood,
ST_Mod_Architecture::TobiFloorPack_PatternedFloor_A.Description,A decorated floor,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_B.Description,A decorated floor,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_A.Description,A decorated mossy floor,
ST_Mod_Architecture::TobiFloorPack_PatternedFloor_B.Description,A decorated white floor,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_C.Description,A decorated white floor,
ST_Mod_Architecture::MereakPack_Barrel_A.Description,A decorative Barrel,
ST_Mod_Architecture::100BuildingsPack_GuardStatue_A.Description,A decorative statue,
ST_Mod_Architecture::ZetaPack_WhiteGraniteDoor_A.Description,A door set in a fine white granite wall,
ST_Mod_Architecture::100BuildingsPack_GraniteBarrier45_A.Description,A granite barrier rotated 45°,
ST_Mod_Architecture::AradrenPack_DecorativeBarrier_A.Description,A granite decorative barrier,
ST_Mod_Architecture::100BuildingsPack_GraniteWall45_A.Description,A granite wall rotated 45°,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_A.Description,A granite wall with mithril plating,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_B.Description,A granite wall with mithril plating and decorative patterns.,
ST_Mod_Architecture::SilverWallsPack_SilverWall_B.Description,A granite wall with silver plating and decorative patterns.,
ST_Mod_Architecture::MereakPack_OrnateCeiling_A.Description,A ironwood Ornate Ceiling,
ST_Mod_Architecture::MereakPack_LongShelves_A.Description,A long set of shelves,
ST_Mod_Architecture::100BuildingsPack_GimlisMap_A.Description,A map showing where the dwarves that answered Gimli’s call.,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnBase_A.Description,A medium granite column base,
ST_Mod_Architecture::MereakPack_MediumShelves_A.Description,A medium set of shelves,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Moss_A.Description,A mossy column base with ithildin relief,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Moss_A.Description,A mossy column base with ithildin relief,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Moss_A.Description,A mossy column base with ithildin relief,
ST_Mod_Architecture::MereakPack_NarrowGraniteWindow_A.Description,A narrow Window,
ST_Mod_Architecture::ZetaPack_WhiteGraniteFloor_A.Description,A nicely tiled granite floor.,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Redrock_A.Description,A red sanstone column base with ithildin relief,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Redrock_A.Description,A red sanstone column capital with ithildin relief,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Redrock_A.Description,A red sanstone column shaft with ithildin relief,
ST_Mod_Architecture::ZetaPack_WhiteGraniteBarrier_A.Description,A short barrier made of granite blocks.,
ST_Mod_Architecture::ZetaPack_WhiteGraniteTrimedBarrier_A.Description,A short barrier made of granite blocks.,
ST_Mod_Architecture::MereakPack_SmallMessyWorkbench_A.Description,A small Messy Workbench,
ST_Mod_Architecture::MereakPack_FigureHead_A.Description,A two winged Figure Head,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Whitemarble_A.Description,A white marble column base with ithildin relief.,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Whitemarble_A.Description,A white marble column capital with ithildin relief.,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Whitemarble_A.Description,A white marble column shaft with ithildin relief,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_B.Description,A wooden curved wall,
ST_Mod_Architecture::CurvedPack_CurvedWall_B.Description,A wooden curved wall,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_A.Name,Adamant Column Base,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_A.Name,Adamant Column Capital,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_A.Name,Adamant Column Shaft,
ST_Mod_Architecture::TobiPack_AleKeg.Name,Ale Keg,
ST_Mod_Architecture::GrumniPack_CeilingLamp_F.Name,Amber Ceiling Lamp,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_C.Description,An Medium Dwelling Cabinet,
ST_Mod_Architecture::OlfahrPack_Barrel_A.Description,An Open Barrel,
ST_Mod_Architecture::OlfahrPack_OpenWoodenCrate_B.Description,An Open Long Wooden Crate,
ST_Mod_Architecture::OlfahrPack_OpenWoodenCrate_A.Description,An Open Wooden Crate,
ST_Mod_Architecture::OlfahrPack_OrnateWoodenCrate_A.Description,An Ornate Wooden Crate,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_B.Description,An Small Dwelling Cabinet With Four Drawers,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_A.Description,An Small Dwelling Cabinet With Two Drawers,
ST_Mod_Architecture::OlfahrPack_Bucket_A.Description,An Small Wooden Bucket,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_A.Description,An adamant column base with ithildin relief.,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_A.Description,An adamant column capital with ithildin relief,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_A.Description,An adamant column shaft with ithildin relief,
ST_Mod_Architecture::StreetLampPack_StreetLamp_C.Description,An street lamp that produces a blue light.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_A.Description,An street lamp that produces a green light.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_F.Description,An street lamp that produces a orange light.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_E.Description,An street lamp that produces a purple light.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_D.Description,An street lamp that produces a white light.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_B.Description,An street lamp that produces a yellow light.,
ST_Mod_Architecture::UzbadPack_AngledWoodenFloor_A.Description,Angled Wooden Floor,
ST_Mod_Architecture::UzbadPack_AngledWoodenFloor_A.Name,Angled Wooden Floor,
ST_Mod_Architecture::MereakPack_Barrel_A.Name,Barrel,
ST_Mod_Architecture::OlfahrPack_Barrel_A.Name,Barrel,
ST_Mod_Architecture::OlfahrPack_Basin_A.Name,Basin,
ST_Mod_Architecture::TobiPack_BirdNest_A.Name,Bird Nest,
ST_Mod_Architecture::TobiPack_BirdNest_B.Name,Bird Nest,
ST_Mod_Architecture::StreetLampPack_StreetLamp_C.Name,Blue Street Lamp,
ST_Mod_Architecture::OlfahrPack_Bucket_A.Name,Bucket,
ST_Mod_Architecture::UzbadPack_ChoppingBlock_A.Description,Chopping block,
ST_Mod_Architecture::UzbadPack_ChoppingBlock_A.Name,Chopping block,
ST_Mod_Architecture::GrumniPack_CeilingLamp_B.Name,Citrine Ceiling Lamp,
ST_Mod_Architecture::AradrenPack_ColumnBase_A.Name,Column Base,
ST_Mod_Architecture::AradrenPack_ColumnCapital_A.Name,Column Capital,
ST_Mod_Architecture::AradrenPack_ColumnShaft_A.Name,Column Shaft,
ST_Mod_Architecture::MereakPack_ColumnTrimBase_A.Description,Column Trim Base,
ST_Mod_Architecture::MereakPack_ColumnTrimBase_A.Name,Column Trim Base,
ST_Mod_Architecture::GrunmniPack_ColumnTrimCapital_A.Description,Column Trim Capital,
ST_Mod_Architecture::GrunmniPack_ColumnTrimCapital_A.Name,Column Trim Capital,
ST_Mod_Architecture::GrunmniPack_ColumnTrimShaft_B.Description,Column Trim Shaft,
ST_Mod_Architecture::GrunmniPack_ColumnTrimShaft_B.Name,Column Trim Shaft,
ST_Mod_Architecture::MereakPack_CornerTrim_A.Name,Corner Trim,
ST_Mod_Architecture::MereakPack_CornerTrim_B.Name,Corner Trim,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Redrock_A.Name,Crimson Column Base,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Redrock_A.Name,Crimson Column Capital,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Redrock_A.Name,Crimson Column Shaft,
ST_Mod_Architecture::TobiPack_DecoratedArch_A.Name,Decorated Arch,
ST_Mod_Architecture::TobiPack_DecoratedArch_B.Name,Decorated Arch,
ST_Mod_Architecture::TobiPack_Ceiling_Center.Name,Decorated Wooden Ceiling,
ST_Mod_Architecture::TobiPack_Floor_Wood_3x3_A.Name,Decorated Wooden Floor,
ST_Mod_Architecture::AradrenPack_DecorativeBarrier_A.Name,Decorative Barrier,
ST_Mod_Architecture::MereakPack_DetailedBaseboard_A.Description,Detailed Baseboard,
ST_Mod_Architecture::MereakPack_DetailedBaseboard_A.Name,Detailed Baseboard,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_A.Name,Dwelling Cabinet,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_B.Name,Dwelling Cabinet,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_C.Name,Dwelling Cabinet,
ST_Mod_Architecture::SeraniPack_DwellingCabinet_D.Name,Dwelling Cabinet,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Whitemarble_A.Name,Fair Column Base,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Whitemarble_A.Name,Fair Column Capital,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Whitemarble_A.Name,Fair Column Shaft,
ST_Mod_Architecture::MereakPack_FigureHead_A.Name,Figure Head,
ST_Mod_Architecture::MereakPack_FigureHead_B.Name,Figure Head,
ST_Mod_Architecture::MereakPack_FigureHead_C.Name,Figure Head,
ST_Mod_Architecture::100BuildingsPack_GimlisMap_A.Name,Gimli’s Map,
ST_Mod_Architecture::SeraniPack_GlassCabinet_A.Name,Glass Cabinet,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_A.Name,Granite Curved Barrier,
ST_Mod_Architecture::CurvedPack_CurvedWall_A.Name,Granite Curved Wall,
ST_Mod_Architecture::MereakPack_GraniteWallBaseboard_A.Description,Granite Wall Baseboard,
ST_Mod_Architecture::MereakPack_GraniteWallBaseboard_A.Name,Granite Wall Baseboard,
ST_Mod_Architecture::SilverWallsPack_SilverWall_A.Description,Granite Wall with silver plating.,
ST_Mod_Architecture::100BuildingsPack_GraniteBarrier45_A.Name,Granite barrier 45,
ST_Mod_Architecture::100BuildingsPack_GraniteWall45_A.Name,Granite wall 45,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_C.Description,Granite wall with a mithril relief of a Dwarf wearing a helmet.,
ST_Mod_Architecture::SilverWallsPack_SilverWall_C.Description,Granite wall with a silver relief of a Dwarf wearing a helmet.,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_E.Description,Granite wall with a silver relief of a Dwarf with braided hair flanked by two Dwarves wearing helmets,
ST_Mod_Architecture::SilverWallsPack_SilverWall_E.Description,Granite wall with a silver relief of a Dwarf with braided hair flanked by two Dwarves wearing helmets.,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_D.Description,Granite wall with a silver relief of a Dwarf with braided hair.,
ST_Mod_Architecture::SilverWallsPack_SilverWall_D.Description,Granite wall with a silver relief of a Dwarf with braided hair.,
ST_Mod_Architecture::StreetLampPack_StreetLamp_A.Name,Green Street Lamp,
ST_Mod_Architecture::100BuildingsPack_GuardStatue_A.Name,Guard Statue,
ST_Mod_Architecture::TobiFloorPack_InlaidFloor_A.Name,Inlaid Adamant Floor,
ST_Mod_Architecture::GrumniPack_CeilingLamp_E.Name,Iolite Ceiling Lamp,
ST_Mod_Architecture::GrumniPack_CeilingLamp_A.Name,Jade Ceiling Lamp,
ST_Mod_Architecture::SeraniPack_KegStand_A.Description,Keg Stand,
ST_Mod_Architecture::SeraniPack_KegStand_A.Name,Keg Stand,
ST_Mod_Architecture::UzbadPack_KitchenCauldron_A.Description,Kitchen Cauldron,
ST_Mod_Architecture::UzbadPack_KitchenCauldron_A.Name,Kitchen Cauldron,
ST_Mod_Architecture::TobiPack_LargeBrazier.Name,Large Brazier,
ST_Mod_Architecture::OlfahrPack_LargeWinch_A.Name,Large Winch,
ST_Mod_Architecture::OlfahrPack_Lift_B.Name,Lift,
ST_Mod_Architecture::AradrenPack_Ladder_A.Name,Long Ladder,
ST_Mod_Architecture::OlfahrPack_OrnateWoodenCrate_B.Name,Long Ornate Wooden Crate,
ST_Mod_Architecture::MereakPack_LongShelves_A.Name,Long Shelves,
ST_Mod_Architecture::OlfahrPack_WoodenCrate_B.Name,Long Wooden Crate,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnBase_A.Name,Medium Granite Column Base,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnCapital_A.Name,Medium Granite Column Capital,
ST_Mod_Architecture::AradrenPack_MediumGraniteColumnShaft_A.Name,Medium Granite Column Shaft,
ST_Mod_Architecture::MereakPack_MediumShelves_A.Name,Medium Shelves,
ST_Mod_Architecture::MereakPack_MessyWorkbench_A.Name,Messy Workbench,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_C.Name,Mithril Overlayed Relief,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_D.Name,Mithril Overlayed Relief II,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_E.Name,Mithril Overlayed Relief III,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_A.Name,Mithril Overlayed Wall,
ST_Mod_Architecture::MithrilWallsPack_MithrilWall_B.Name,Mithril Overlayed Wall II,
ST_Mod_Architecture::TobiDurinPack_ColumnBase_Moss_A.Name,Mossy Column Base,
ST_Mod_Architecture::TobiDurinPack_ColumnCapital_Moss_A.Name,Mossy Column Capital,
ST_Mod_Architecture::TobiDurinPack_ColumnShaft_Moss_A.Name,Mossy Column Shaft,
ST_Mod_Architecture::MereakPack_NarrowArchwayPillar_A.Name,Narrow Archway Pillar,
ST_Mod_Architecture::MereakPack_NarrowGraniteWindow_A.Name,Narrow Granite Window,
ST_Mod_Architecture::CurvedPack_CurvedStairs_A.Name,Narrow Spiral Stone Stairs,
ST_Mod_Architecture::MereakPack_NotchedArch_A.Description,Notched Arch,
ST_Mod_Architecture::MereakPack_NotchedArch_A.Name,Notched Arch,
ST_Mod_Architecture::MereakPack_NotchedArchway_A.Name,Notched Archway,
ST_Mod_Architecture::OlfahrPack_OpenWoodenCrate_B.Name,Open Long Wooden Crate,
ST_Mod_Architecture::OlfahrPack_OpenWoodenCrate_A.Name,Open Wooden Crate,
ST_Mod_Architecture::StreetLampPack_StreetLamp_F.Name,Orange Street Lamp,
ST_Mod_Architecture::MereakPack_OrnateCeiling_A.Name,Ornate Ceiling,
ST_Mod_Architecture::TobiPack_Ceiling_Corner.Name,Ornate Ceiling Corner,
ST_Mod_Architecture::OlfahrPack_OrnateWoodenCrate_A.Name,Ornate Wooden Crate,
ST_Mod_Architecture::TobiFloorPack_PatternedFloor_A.Name,Patterned Floor,
ST_Mod_Architecture::TobiFloorPack_PatternedFloor_B.Name,Patterned White Floor,
ST_Mod_Architecture::MereakPack_Pedestal_A.Name,Pedestal,
ST_Mod_Architecture::TobiPack_Ceiling_Corner.Description,Place on a wall to create a ceiling above.,
ST_Mod_Architecture::SeraniPack_PotsRack_A.Description,Pots Rack,
ST_Mod_Architecture::SeraniPack_PotsRack_A.Name,Pots Rack,
ST_Mod_Architecture::StreetLampPack_StreetLamp_E.Name,Purple Street Lamp,
ST_Mod_Architecture::GrumniPack_CeilingLamp_D.Name,Quartz Ceiling Lamp,
ST_Mod_Architecture::AradrenPack_RopeBarrier_A.Name,Rope Barrier,
ST_Mod_Architecture::AradrenPack_RopeBarrier_B.Name,Rope Barrier,
ST_Mod_Architecture::AradrenPack_RopeBarrier_C.Name,Rope Barrier,
ST_Mod_Architecture::MereakPack_Sack_A.Name,Sack,
ST_Mod_Architecture::GrunmniPack_ColumnTrimShaft_A.Description,Short Column Trim Shaft,
ST_Mod_Architecture::GrunmniPack_ColumnTrimShaft_A.Name,Short Column Trim Shaft,
ST_Mod_Architecture::AradrenPack_Ladder_B.Name,Short Ladder,
ST_Mod_Architecture::MereakPack_ShortMemorialStatue_A.Name,Short Memorial Statue,
ST_Mod_Architecture::GrunmniPack_ShortBrazier_A.Name,Short brazier,
ST_Mod_Architecture::GrunmniPack_ShortBrazier_B.Name,Short brazier II,
ST_Mod_Architecture::SilverWallsPack_SilverWall_C.Name,Silver Overlayed Relief,
ST_Mod_Architecture::SilverWallsPack_SilverWall_D.Name,Silver Overlayed Relief II,
ST_Mod_Architecture::SilverWallsPack_SilverWall_E.Name,Silver Overlayed Relief III,
ST_Mod_Architecture::SilverWallsPack_SilverWall_A.Name,Silver Overlayed Wall,
ST_Mod_Architecture::SilverWallsPack_SilverWall_B.Name,Silver Overlayed Wall II,
ST_Mod_Architecture::MereakPack_FigureHead_B.Description,Single Finial Figure Head,
ST_Mod_Architecture::MereakPack_SmallMessyWorkbench_A.Name,Small Messy Workbench,
ST_Mod_Architecture::CurvedPack_CurvedStairs_A.Description,Stairs,
ST_Mod_Architecture::OlfahrPack_Lift_A.Name,Tall Lift,
ST_Mod_Architecture::CurvedPack_CurvedStairs_B.Description,Tall Spiral Stone Stairs,
ST_Mod_Architecture::CurvedPack_CurvedStairs_B.Name,Tall Spiral Stone Stairs,
ST_Mod_Architecture::TobiPack_AleKeg.Description,Tavern Keg full of Evening Ale,
ST_Mod_Architecture::MereakPack_ThickDarkWoodFloor_A.Name,Thick dark wood Ceiling,
ST_Mod_Architecture::MereakPack_ThinWoodCrown_A.Name,Thin Wood Crown,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_C.Name,Thin Wood Curved Barrier,
ST_Mod_Architecture::CurvedPack_CurvedWall_C.Name,Thin Wood Curved Wall,
ST_Mod_Architecture::MereakPack_ThinWoodDetail_A.Description,Thin Wood Detail,
ST_Mod_Architecture::MereakPack_ThinWoodDetail_A.Name,Thin Wood Detail,
ST_Mod_Architecture::UzbadPack_ThinWoodFloorTile_A.Description,Thin Wood Floor Tile,
ST_Mod_Architecture::UzbadPack_ThinWoodFloorTile_A.Name,Thin Wood Floor Tile,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_B.Name,Tiled Floor,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_C.Name,Tiled Floor,
ST_Mod_Architecture::TobiFloorPack_TiledFloor_A.Name,Tiled Mossy Floor,
ST_Mod_Architecture::MereakPack_UnderStairsArch_A.Description,Under Stairs Arch,
ST_Mod_Architecture::MereakPack_UnderStairsArch_A.Name,Under Stairs Arch,
ST_Mod_Architecture::OlfahrPack_Wagon_A.Name,Wagon,
ST_Mod_Architecture::OlfahrPack_Wagon_A.Description,Wagon used in the Mines,
ST_Mod_Architecture::ZetaPack_WhiteGraniteBarrier_A.Name,White Granite Barrier,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnBase_A.Name,White Granite Column Base,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnCapital_A.Name,White Granite Column Capital,
ST_Mod_Architecture::ZetaPack_WhiteGraniteColumnShaft_A.Name,White Granite Column Shaft,
ST_Mod_Architecture::ZetaPack_WhiteGraniteDoor_A.Name,White Granite Door,
ST_Mod_Architecture::ZetaPack_WhiteGraniteFloor_A.Name,White Granite Floor,
ST_Mod_Architecture::ZetaPack_WhiteGraniteStairs_A.Description,White Granite Stairs,
ST_Mod_Architecture::ZetaPack_WhiteGraniteStairs_A.Name,White Granite Stairs,
ST_Mod_Architecture::ZetaPack_WhiteGraniteTrimedBarrier_A.Name,White Granite Trimed Barrier,
ST_Mod_Architecture::ZetaPack_WhiteGraniteWall_A.Description,White Granite Wall,
ST_Mod_Architecture::ZetaPack_WhiteGraniteWall_A.Name,White Granite Wall,
ST_Mod_Architecture::ZetaPack_WhiteGraniteWindow_A.Description,White Granite Window,
ST_Mod_Architecture::ZetaPack_WhiteGraniteWindow_A.Name,White Granite Window,
ST_Mod_Architecture::StreetLampPack_StreetLamp_D.Name,White Street Lamp,
ST_Mod_Architecture::OlfahrPack_Windlass_A.Name,Windlass,
ST_Mod_Architecture::MereakPack_WoodCrown_A.Description,Wood Crown,
ST_Mod_Architecture::MereakPack_WoodCrown_A.Name,Wood Crown,
ST_Mod_Architecture::CurvedPack_CurvedBarrier_B.Name,Wood Curved barrier,
ST_Mod_Architecture::CurvedPack_CurvedWall_B.Name,Wood Curved wall,
ST_Mod_Architecture::SeraniPack_WoodPile_A.Name,Wood Pile,
ST_Mod_Architecture::OlfahrPack_WoodenCrate_A.Name,Wooden Crate,
ST_Mod_Architecture::StreetLampPack_StreetLamp_B.Name,Yellow Street Lamp,
ST_Mod_Architecture::GrumniPack_CeilingLamp_C.Name,Zelêb Ceiling Lamp,
ST_Mod_Effects::BearGuild.Buff.Bludgeon.Name,Bludgeon-Smasher,
ST_Mod_Effects::BearGuild.Buff.AntiDragon.Description,Buff for crushing Dragons,
ST_Mod_Effects::BearGuild.Buff.Hunter.Description,Buff for punching Monsters,
ST_Mod_Effects::BearGuild.Buff.AntiOrc.Description,Buff for smashing Orcs,
ST_Mod_Effects::BearGuild.Buff.Thunder.Description,Buff to crush your enemies with the power of the thunder,
ST_Mod_Effects::BearGuild.Buff.WatcherEye.Description,Butt to damage Watcher,
ST_Mod_Effects::BearGuild.Buff.Bludgeon.Description,Crush your opponents decisively,
ST_Mod_Effects::BearGuild.Buff.AntiDragon.Name,Dragon-Crusher,
ST_Mod_Effects::BearGuild.Buff.Hunter.Name,Hunter-Fists,
ST_Mod_Effects::BearGuild.Buff.AntiOrc.Name,Orc-Smasher,
ST_Mod_Effects::BearGuild.Buff.PiercingDamage.Description,Piercing-Fist to damage the Watcher,
ST_Mod_Effects::BearGuild.Buff.PiercingDamage.Name,Piercing-Fists,
ST_Mod_Effects::BearGuild.Buff.Thunder.Name,Thunder-Fists,
ST_Mod_Effects::BearGuild.Buff.WatcherEye.Name,Watcher-Hunter,
ST_Mod_Interactables::100BuildingsPack_HangingIronLantern_A.Description,A simple and sturdy lantern,
ST_Mod_Interactables::100BuildingsPack_TelcharForge_A.Description,Advanced forge used by Telchar,
ST_Mod_Interactables::100BuildingsPack_HangingIronLantern_A.Name,Hanging iron lantern,
ST_Mod_Interactables::100BuildingsPack_TelcharForge_A.Name,Telchar Forge,
ST_Mod_Items::Armor.BearGuild.Shield.Description,"A CaveBear is a worthy opponent. BearKnuckle Brawlers honor their first CaveBear by taking the beast with them in to future battles, in the form of this fearsome shield",
ST_Mod_Items::Tools.Hammer.Tobi.Description,A tool created by the ancient architecs’ guild of Moria.,
ST_Mod_Items::Armor.BearGuild.Gloves_T4.Description,"A weapon from the days of ol' Belegost. Leather and Brass. Durable, effective and handy in a pinch.",
ST_Mod_Items::Weapons.Battleaxe.Dain.Description,Battleaxe used by the Lord of the Iron Hills,
ST_Mod_Items::Armor.BearGuild.Gloves_T4.Name,Blue Mountains Mitts,
ST_Mod_Items::Armor.BearGuild.Shield.Name,"Brawler's Shield",
ST_Mod_Items::Armor.BearGuild.Shield.Broken.Name,"Broken Brawler's Shield",
ST_Mod_Items::Weapons.Battleaxe.Dain.Broken.Name,Broken Dain’s Battleaxe,
ST_Mod_Items::Weapons.Hammer.Dain.Broken.Name,Broken Dain’s Warhammer,
