key,source,Translation
Fortress_Wall_Sloped.Description,Una sección de muro gruesa con una inclinación en uno de sus lados.,
Advanced_Wall_Gold_Thin_A.Description,"Un muro de granito alto y fino con un relieve dorado, ideal para rellenar huecos.",
Advanced_Wall_Gold_Thin_B.Description,"Un muro de granito alto y fino con un relieve dorado, ideal para rellenar huecos.",
Advanced_Wall_Gold_Thin_C.Description,"Un muro de granito alto y fino chapado en oro, ideal para rellenar huecos.",
Crude_Wall_Thin.Description,"Una sección de muro fina, ideal para rellenar huecos.",
Elder_Wall_Thin_D.Description,Un muro de piedra fino con un poste de madera.,
Crude_Floor_Wood_Thin.Description,Una fina tira de suelo de madera.,
Elder_Wall_Thin_A.Description,"Un muro fino compuesto de piedra bien trabajada, ideal para rellenar huecos.",
Elder_Wall_Thin_A_V2.Description,"Un muro fino compuesto de piedra bien trabajada, ideal para rellenar huecos.",
Scaffolding_Balcony_A.Description,Una fina plataforma de madera construida sobre un muro.,
Elder_Wall_Thin_B.Description,Un muro de piedra fino con un rodapié decorativo.,
Elder_Wall_Thin_B_V2.Description,Un muro de piedra fino con un rodapié decorativo.,
Elder_Wall_Thin_C.Description,Un muro de piedra fino con elementos decorativos.,
Scaffolding_Platform_1x1x3.Description,Una columna de madera alta y fina con una plataforma encima,
Deco_SignageTrades_E.Description,Una placa decorativa de un grupo que aboga por la paz por encima de todas las cosas.,
Deco_SignageTrades_K.Description,Una placa decorativa de una solitaria comunidad cuyo propósito no debe ser mencionado.,
Deco_SignageTrades_J.Description,Una placa decorativa.,
Deco_SignageTrades_C.Description,Una placa decorativa de la solitaria secta que sigue las enseñanzas de Mahal.,
Deco_SignageTrades_F.Description,Una placa decorativa de una taberna de Pozo Oscuro.,
Deco_SignageTrades_G.Description,Una placa decorativa de una taberna de las Puertas del Oeste.,
Deco_SignageTrades_D.Description,Una placa decorativa.,
Deco_SignageTrades_B.Description,Una placa decorativa de las armaduras exclusivas del ejército khazâd.,
Deco_SignageTrades_I.Description,Una placa decorativa del gremio de los mineros y escultores.,
Deco_SignageTrades_H.Description,Una placa decorativa de los pastores de cabras y otros animales domesticados.,
Deco_SignageTrades_A.Description,Una placa decorativa.,
Elder_Wall_A.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Elder_Wall_A_V2.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Elder_Wall_B.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Elder_Wall_B_V2.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Elder_Wall_C.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Elder_Wall_C_V2.Description,Un muro de piedra muy bien trabajado con detalles decorativos.,
Advanced_Wall.Description,Un muro construido a partir de ladrillos de granito cortados y tallados.,
Elder_Wall_E_Crown.Description,Una moldura para muro con piedra en un lado y bonitas decoraciones de madera en el otro.,
Elder_Wall_D.Description,Una sección de muro con piedra en un lado y bonitas decoraciones de madera en el otro.,
Elder_Wall_D_V2.Description,Una sección de muro con piedra en un lado y bonitas decoraciones de madera en el otro.,
Elder_Wall_E.Description,Una sección de muro con piedra en un lado y bonitas decoraciones de madera en el otro.,
Elder_Wall_E_V2.Description,Una sección de muro con piedra en un lado y bonitas decoraciones de madera en el otro.,
Advanced_Wall_Tiny.Description,Un bloque de granito pequeño y bien trabajado.,
Elder_Wall_G_V2.Description,Un muro de piedra bien trabajado con una moldura en la parte superior.,
Elder_Wall_F_V2.Description,Un muro de piedra bien trabajado.,
Elder_Wall_A_Crown.Description,Una moldura para muros bien trabajada con detalles decorativos.,
Elder_Wall_B_Crown.Description,Una moldura para muros bien trabajada con detalles decorativos.,
Elder_Wall_C_Crown.Description,Una moldura para muros bien trabajada con detalles decorativos.,
Crude_Wall_Window.Description,Una abertura para ventana en un muro de piedra sin pulir.,
Elder_Window_A.Description,Una abertura para ventana en una piedra con grabados decorativos.,
Elder_Window_A_V2.Description,Una abertura para ventana en una piedra con grabados decorativos.,
Beorn_Wall_4x3_Arch.Description,Arco de madera con adornos tallados.,
Crude_Wall_DoorClosed.Description,Una puerta de madera con un marco de piedra sin pulir.,
Advanced_Floor_Wood_Tiny.Description,"Una pequeña tabla de madera para suelos, ideal para rellenar huecos.",
Crude_Floor_Wood_Tiny.Description,"Una pequeña tabla de madera para suelos, ideal para rellenar huecos.",
Beorn_Wall_4x3_B.Description,Muro de madera con adornos tallados.,
Advanced_Wall_DoorClosed.Name,Puerta adornada,
Deco_LightLamp_Large_F.Name,Lámpara de ámbar,
Crude_Wall_Doorframe.Description,Un marco de puerta vacío en un muro de piedra sin pulir.,
Advanced_Wall_DoorClosed_Gold.Description,Una puerta decorada chapada en oro en un elegante muro de granito.,
Elder_Archway_C.Description,Un arco ornamental con una pequeña abertura.,
Elder_Archway_C_V2.Description,Un arco ornamental con una pequeña abertura.,
Elder_Archway_A.Description,Un arco ornamental con una amplia abertura.,
Elder_Archway_A_V2.Description,Un arco ornamental con una amplia abertura.,
Advanced_ArchedCeiling_A.Name,Techo arqueado ancho,
Elder_Archway_Vertical_V2.Name,Base del arco,
Beorn_Column_Medium_Base.Description,Base para una columna de madera.,
Scaffolding_Platform_Open.Description,Vigas que forman una estructura cuadrada con la parte superior abierta.,
Deco_Bench_Long.Name,Banco,
Deco_Banner_D2.Name,Estandarte negro de la montaña,
Deco_Banner_H2.Name,Bandera negra de la montaña,
Deco_Carpet_A2.Name,Alfombra azul,
Deco_Carpet_C2.Name,Punta de alfombra azul,
Deco_Banner_A2.Name,Estandarte azul de la fuerza,
Deco_Banner_E2.Name,Bandera azul de la fuerza,
Deco_Bookcase_D.Name,Estantería alta,
Elder_Trellis_3m_B.Name,Reja arqueada,
EntPack.TreePlot.LargeA.Description,Caja de tierra labrada. Planta un esqueje para que crezca un árbol. ,
EntPack.TreePlot.LargeB.Description,Caja de tierra labrada. Planta un esqueje para que crezca un árbol. ,
EntPack.TreePlot.MediumA.Description,Caja de tierra labrada. Planta un esqueje para que crezca un árbol. ,
EntPack.TreePlot.MediumB.Description,Caja de tierra labrada. Planta un esqueje para que crezca un árbol. ,
Deco_Brazier.Name,Brasero,
Deco_SignageTrades_A.Name,Letrero de taberna,
Deco_SignageTrades_F.Name,Hermandad de la cerveza,
HolidayPack.CandelabraB.Name,Candelabro,
Beorn_Column_Medium_Capital.Description,Capitel para una columna de madera.,
Beorn_Wall_4x3_Arch.Name,Arco tallado,
Beorn_Wall_1x3_B.Name,Barrera tallada,
Beorn_Column_MediumRound_Base.Name,Base tallada,
Beorn_Beam_3m_B.Name,Viga tallada,
Beorn_Wall_1x1_B.Name,Bloque tallado,
Beorn_Column_MediumRound_Capital.Name,Capitel tallado,
Beorn_Wall_4x3_Door.Name,Puerta tallada,
Beorn_Column_MediumRound_Shaft.Name,Fuste tallado ,
Beorn_Wall_4x3_B.Name,Muro tallado,
Beorn_Wall_4x3_Window_B.Name,Ventana tallada,
Advanced_Column_Wood_D_Crown.Name,Capitel de madera tallado,
Advanced_ArchedCeiling_Corner.Name,Esquina para techos arqueada,
HolidayPack.StringLightsLong.Name,Cadena de luces,
Deco_Chair_B.Name,Silla,
EntPack.TreePlot.SmallA.Description,Cercado redondo de tierra labrada. Planta un esqueje para que crezca un árbol. ,
EntPack.TreePlot.SmallB.Description,Cercado redondo de tierra labrada. Planta un esqueje para que crezca un árbol. ,
Deco_LightLamp_Large_B.Name,Lámpara de citrino,
Deco_Bookcase_C.Name,Estantería abarrotada,
Advanced_Column_Stone_Base.Name,Basa de columna,
Fortress_Column_Base.Name,Basa de columna,
Advanced_Column_Stone_Crown.Name,Capitel de columna,
Fortress_Column_Crown.Name,Capitel de columna,
Advanced_Column_Stone_Shaft.Name,Fuste de columna,
Fortress_Column_Shaft.Name,Fuste de columna,
Crude_Slope2_CornerAngle_A.Name,Techo en ángulo,
Elder_Stairs_Outside.Name,Escaleras de ángulo exterior,
Elder_Wall_Corner_V2.Name,Muro en ángulo,
Elder_Wall_Corner_Crown.Name,Moldura para muro en ángulo,
OrcHunter.DrakeSkeletonB.Name,Esqueleto de dragón agachado,
Advanced_Column_Wood_D_Crown.Description,Capitel para una columna de madera.,
Advanced_Column_Wood_F_Crown.Description,Capitel de una columna de madera con forma de L.,
Advanced_Column_Wood_G_Crown.Description,Capitel de una columna de madera con forma de L.,
Elder_Wall_Thin_A_Crown.Description,Sección de una moldura de un muro de piedra con elementos decorativos.,
Advanced_Wall_Window_C.Name,Ventana doble con capitel,
Advanced_Wall_Window_D.Name,Ventana con capitel,
Elder_Window_E.Name,Ventana con capitel,
Deco_LightLamp_Large_A.Name,Lámpara de cristal,
Deco_StatueLantern_B.Name,Estatua de cristal (izquierda),
Deco_StatueLantern_A.Name,Estatua de cristal (derecha),
EntPack.TreePlot.MediumB.Name,Caja arbórea de piedra oscura,
Deco_SignageTrades_D.Name,Letrero de herrería,
Beorn_Column_MediumRound_Base.Description,Base decorada para una columna de madera.,
Beorn_Column_MediumRound_Capital.Description,Capitel decorado para una columna de madera.,
Beorn_Column_MediumRound_Shaft.Description,Fuste tallado para una columna de madera.,
Advanced_Wall_Short_B.Name,Barrera decorativa,
Elder_Wall_B_Crown.Name,Moldura decorativa,
Elder_Window_D.Name,Ventana doble decorativa,
Elder_Wall_A_V2.Name,Muro decorativo,
Elder_Wall_Short_E.Name,Base de muro decorativa,
Elder_Wall_D_V2.Name,Paneles decorativos de madera,
Deco_Bench_A.Description,Una bandera de tela decorativa.,
Deco_Bench_B.Description,Mueble decorativo.,
Deco_Bench_Long.Description,Mueble decorativo.,
Deco_Bookcase_A.Description,Mueble decorativo.,
Deco_Bookcase_B.Description,Mueble decorativo.,
Deco_Bookcase_C.Description,Mueble decorativo.,
Deco_Bookcase_D.Description,Mueble decorativo.,
Deco_Chair_A.Description,Mueble decorativo.,
Deco_Chair_B.Description,Mueble decorativo.,
Deco_Chair_Ornate.Description,Mueble decorativo.,
Deco_ScrollShelf_A.Description,Un mueble decorativo.,
Deco_ScrollShelf_B.Description,Mueble decorativo.,
Deco_ScrollShelf_C.Description,Mueble decorativo.,
Deco_ScrollShelf_D.Description,Mueble decorativo.,
Deco_StepLadder.Description,Mueble decorativo.,
Deco_Stool_A.Description,Mueble decorativo.,
Deco_Stool_B.Description,Mueble decorativo.,
Deco_Table_A.Description,Mueble decorativo.,
Deco_Table_Long_A.Description,Mueble decorativo.,
Deco_Table_Long_B.Description,Mueble decorativo.,
Deco_Table_Round.Description,Mueble decorativo.,
Deco_TavernCabinet_A.Description,Mueble decorativo.,
Deco_Vase_C.Description,Mueble decorativo.,
Deco_Vase_D.Description,Mueble decorativo.,
Deco_Vase_F.Description,Mueble decorativo.,
EntPack.PlanterDecoA.Description,Maceta con planta decorativa. No necesita cuidados.,
EntPack.PlanterDecoB.Description,Maceta con planta decorativa. No necesita cuidados.,
EntPack.PlanterDecoC.Description,Maceta con planta decorativa. No necesita cuidados.,
Deco_Rug_A.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_A2.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_B.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_B2.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_C.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_C2.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_D.Description,Revestimiento textil decorativo para suelos.,
Deco_Rug_D2.Description,Revestimiento textil decorativo para suelos.,
Elder_Trellis_3m_A.Description,Madera decorativa fijada siguiendo un patrón.,
Elder_Trellis_3m_B.Description,Madera decorativa con un patrón y la viga inferior arqueada.,
Advanced_Column_Wood_B.Name,Columna de madera con doble soporte,
Fortress_Column_8m.Name,Columna de dos pisos,
Fortress_Wall_Window_B.Name,Doble ventana robusta,
Advanced_Wall_Window_B.Name,Ventana doble,
Advanced_Column_Wood_E_Crown.Description,Capitel doble para una columna de madera.,
OrcHunter.DrakeSkeletonC.Name,Esqueleto de dragón ,
OrcHunter.DrakeSkull.Name,Vitrina de esqueleto de dragón,
HolidayPack.CandelabraC.Name,Candelabro sofisticado,
Statue_ElberethsBlessing_Buildable.Name,Caja agrícola élfica,
EntPack.TreePlot.LargeC.Description,Cercado de tierra labrada. Planta un esqueje para que crezca un árbol. ,
EntPack.PlanterB.Name,Maceta agrícola,
Crude_Stairs_3mWide_1M.Description,Cinco peldaños de madera sencillos.,
Deco_Carpet_A.Description,Revestimiento para el suelo que puede combinarse con otros segmentos de alfombras.,
Deco_Carpet_A2.Description,Revestimiento para el suelo que puede combinarse con otros segmentos de alfombras.,
Deco_Carpet_C.Description,Revestimiento para el suelo que puede combinarse con otros segmentos de alfombras.,
Deco_Carpet_C2.Description,Revestimiento para el suelo que puede combinarse con otros segmentos de alfombras.,
Deco_SignageTrades_C.Name,Seguidores de Mahal ,
OrcHunter.OrcSpikeD.Description,"Lámpara de pie iluminada por calaveras de orcos, trasgos o Uruk en llamas.",
Deco_Bookcase_B.Name,Estantería llena,
Fortress_Column_4m.Name,Columna de un piso,
Beorn_Roof_Slope1_200x100x200_A.Name,Techo completo de pizarra,
Advanced_Wall_DoorClosed_Gold.Name,Puerta dorada,
EntPack.PlanterC.Name,Maceta agrícola dorada,
Advanced_Floor_Gold.Name,Suelo dorado,
Advanced_Wall_Gold_A.Name,Relieve dorado,
Advanced_Wall_Gold_B.Name,Relieve dorado II,
Advanced_Wall_Gold_C.Name,Relieve dorado III,
Advanced_Wall_Gold_Plain_A.Name,Muro dorado,
Advanced_Wall_Gold_Plain_B.Name,Muro dorado II,
Deco_SignageTrades_H.Name,Maestros de las cabras,
Advanced_Wall_Doorframe.Name,Arco de granito,
Advanced_Wall_Short.Name,Barrera de granito,
Advanced_Column_Stone.Name,Columna de granito,
Advanced_Floor_Stone.Name,Suelo de granito,
Advanced_Floor_Stone_V2.Name,Suelo de granito,
Advanced_Fence_Stone.Name,Barandilla de granito,
Advanced_Wall.Name,Muro de granito,
Advanced_Wall_Gold_Plain_A.Description,Muro de granito chapado en oro.,
Advanced_Wall_Window_A.Name,Ventana de granito,
Advanced_Wall_Gold_A.Description,Muro de granito con un relieve dorado de un enano con un yelmo.,
Advanced_Wall_Gold_C.Description,"Muro de granito con un relieve dorado de un enano con trenza, flanqueado por otros dos con yelmos.",
Advanced_Wall_Gold_B.Description,Muro de granito con un relieve dorado de un enano con trenzas.,
Deco_Rug_B2.Name,Alfombra trenzada verde,
Deco_Banner_D.Name,Estandarte verde de la montaña,
Deco_Banner_H.Name,Bandera verde de la montaña,
Deco_SignageTrades_G.Name,Pezuña y yunque,
Advanced_CrossBeam_A_Wood.Description,Estructura de madera horizontal para sostener o reforzar. ,
Beorn_Floor_1x3_B.Name,Tablón mosaico,
Beorn_Floor_3x3_B.Name,Suelo mosaico,
Beorn_Floor_1x1_B.Name,Baldosa mosaico,
Elder_Stairs_Inside.Name,Escaleras de ángulo interior,
Deco_LightLamp_Large_E.Name,Lámpara de iolita,
Deco_SignageTrades_B.Name,Liga de hierro,
Deco_LightLamp_Large_C.Name,Lámpara de jade,
Deco_ScrollShelf_C.Name,Estante para pergaminos revuelto,
Elder_Archway_Vertical.Name,Base de arco grande,
Elder_Archway_Corner_V2.Name,Esquina de arco grande,
Elder_Archway_Horizontal_Large.Name,Clave de arco grande,
Scaffolding_Balcony_B.Name,Balcón grande,
Elder_Column_B_Base.Name,Basa de columna grande,
Elder_Column_B_Crown.Name,Capitel de columna grande,
Elder_Column_B_Shaft.Name,Fuste de columna grande,
EntPack.TreePlot.LargeB.Name,Caja arbórea de piedra oscura grande,
Beorn_Roof_Slope1_300x300x300_A.Name,Techo de pizarra largo,
EntPack.TreePlot.LargeA.Name,Caja arbórea de piedra grande,
Beorn_Column_Large_Base.Name,Base de madera rústica grande,
